decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,time_ratio,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
exp,effectiveness,pS,5.0,sensitivity_pS,605.8662827635135,33.87111695032642,2.6938069540874663,1.0337362453285068,1.0337362453285068,5.0,,,0.4507942183274309,0.4507942183274309,7.544581116600922,1.883736836760274
exp,effectiveness,pS,5.0420177983193275,sensitivity_pS,605.5492760757523,34.18812363808756,2.6938069540874663,1.0337362453285068,1.0337362453285068,5.0420177983193275,,,0.4507942183274309,0.4507942183274309,7.544581116600922,1.883736836760274
exp,effectiveness,pS,5.134228187919463,sensitivity_pS,608.1508708763838,34.89038947375056,3.074854493454001,1.0279028182177354,1.0279028182177354,5.134228187919463,,,0.45175572071611153,0.45175572071611153,7.655414233469841,2.205771098958714
exp,effectiveness,pS,5.268456375838926,sensitivity_pS,607.5918018578892,35.918481645861874,3.166577009496163,1.0270699132736743,1.0270699132736743,5.268456375838926,,,0.4521754679792436,0.4521754679792436,7.671371422140625,2.2184860336831225
exp,effectiveness,pS,5.402684563758389,sensitivity_pS,606.9379476695394,36.948427161189954,3.2421332100260423,1.0263985794938746,1.0263985794938746,5.402684563758389,,,0.45251749262364455,0.45251749262364455,7.684257359504838,2.2296641136659914
exp,effectiveness,pS,5.5369127516778525,sensitivity_pS,605.9065037286663,37.97987110206309,3.2421332100260423,1.0263985794938746,1.0263985794938746,5.5369127516778525,,,0.45251749262364455,0.45251749262364455,7.684257359504838,2.2296641136659914
exp,effectiveness,pS,5.671140939597316,sensitivity_pS,605.3576498291121,39.013493456630655,3.342266854830812,1.0255285071163982,1.0255285071163982,5.671140939597316,,,0.4529657419404767,0.4529657419404767,7.7009902015617415,2.2454253337740893
exp,effectiveness,pS,5.805369127516778,sensitivity_pS,607.2153314173677,40.04934859233118,3.7299646818152126,1.0202885970188298,1.0202885970188298,5.805369127516778,,,0.4538327137711072,0.4538327137711072,7.802535097894747,2.591903044876148
exp,effectiveness,pS,5.939597315436242,sensitivity_pS,606.6543053561882,41.100073567875256,3.8358334504706257,1.0194026422334221,1.0194026422334221,5.939597315436242,,,0.45429780862891245,0.45429780862891245,7.819835983846069,2.6102286106900947
exp,effectiveness,pS,6.073825503355705,sensitivity_pS,606.7211872807857,42.15072570145358,4.082845802564547,1.017358145464215,1.017358145464215,6.073825503355705,,,0.4554815706612614,0.4554815706612614,7.859907377413146,2.666187424300506
exp,effectiveness,pS,6.208053691275168,sensitivity_pS,605.7822445777182,43.205470430212195,4.110245735362568,1.0171445106151231,1.0171445106151231,6.208053691275168,,,0.4555977597719913,0.4555977597719913,7.864106373944445,2.671717481055182
exp,effectiveness,pS,6.342281879194631,sensitivity_pS,605.2171805018671,44.25998906531332,4.228517876056888,1.0162372171933531,1.0162372171933531,6.342281879194631,,,0.4560952296538543,0.4560952296538543,7.881964249156886,2.6963525796610055
exp,effectiveness,pS,6.476510067114094,sensitivity_pS,604.1811820945416,45.31794265114904,4.23391850467905,1.0161963511594716,1.0161963511594716,6.476510067114094,,,0.45611779064622904,0.45611779064622904,7.882769551838241,2.697506630410674
exp,effectiveness,pS,6.6107382550335565,sensitivity_pS,606.1793318777665,46.37924155457938,4.7473063066485555,1.0104825556123826,1.0104825556123826,6.6107382550335565,,,0.4573140820769135,0.4573140820769135,7.996178955033102,3.1172573902916842
exp,effectiveness,pS,6.74496644295302,sensitivity_pS,612.7884236280166,47.48897861105951,6.449033940369251,0.9960053470542325,0.9960053470542325,6.74496644295302,,,0.46266167565980115,0.46266167565980115,8.290885827236115,3.854734154634348
exp,effectiveness,pS,6.879194630872483,sensitivity_pS,612.6208192725146,48.570219821185795,6.750722622289739,0.9942100725602605,0.9942100725602605,6.879194630872483,,,0.4636791764159018,0.4636791764159018,8.328180496988276,3.913278801001363
exp,effectiveness,pS,7.0134228187919465,sensitivity_pS,611.953694493814,49.68947298785103,6.875347663832448,0.9933490306644108,0.9933490306644108,7.0134228187919465,,,0.4641766462977648,0.4641766462977648,8.346127086825776,3.944266800455576
exp,effectiveness,pS,7.14765100671141,sensitivity_pS,610.9946665558282,50.81019283651424,6.920947036684511,0.9930392683193119,0.9930392683193119,7.14765100671141,,,0.46435713423676267,0.46435713423676267,8.35259287982392,3.9558935503276853
exp,effectiveness,pS,7.281879194630872,sensitivity_pS,612.667185472726,51.9436015709663,7.480743137991586,0.9876377618935437,0.9876377618935437,7.281879194630872,,,0.4655940354537217,0.4655940354537217,8.466149334407529,4.4144087693757745
exp,effectiveness,pS,7.416107382550336,sensitivity_pS,611.7679781262334,53.080869751349994,7.551313783174487,0.9871760863432437,0.9871760863432437,7.416107382550336,,,0.4658681515110747,0.4658681515110747,8.475926511058612,4.433383493407872
exp,effectiveness,pS,7.550335570469798,sensitivity_pS,610.6302698697154,54.218578007867926,7.551313783174487,0.9871760863432437,0.9871760863432437,7.550335570469798,,,0.4658681515110747,0.4658681515110747,8.475926511058612,4.433383493407872
exp,effectiveness,pS,7.684563758389261,sensitivity_pS,612.7935748654298,55.276340445414384,8.400816103946028,0.9806685392172643,0.9806685392172643,7.684563758389261,,,0.4682752124405826,0.4682752124405826,8.61494803417553,5.019213144076108
exp,effectiveness,pS,7.818791946308725,sensitivity_pS,611.6372060017821,56.4327093090621,8.400816103946028,0.9806685392172643,0.9806685392172643,7.818791946308725,,,0.4682752124405826,0.4682752124405826,8.61494803417553,5.019213144076108
exp,effectiveness,pS,7.953020134228188,sensitivity_pS,608.6449767633536,57.645078516904135,7.995534971227896,0.9843316849539197,0.9843316849539197,7.953020134228188,,,0.4679390684054984,0.4679390684054984,8.536413661201227,4.573762034684325
exp,effectiveness,pS,8.087248322147651,sensitivity_pS,609.7143646890073,58.79256743051523,8.47681318901159,0.9798851681558887,0.9798851681558887,8.087248322147651,,,0.4686814926479226,0.4686814926479226,8.631836318482272,5.055040252468021
exp,effectiveness,pS,8.221476510067113,sensitivity_pS,609.0469321562758,59.9529654845209,8.644260117584615,0.9788920022992502,0.9788920022992502,8.221476510067113,,,0.4693007918886092,0.4693007918886092,8.65329506034929,5.105918618441083
exp,effectiveness,pS,8.355704697986578,sensitivity_pS,607.8854160407927,61.114481600004055,8.644260117584615,0.9788920022992502,0.9788920022992502,8.355704697986578,,,0.4693007918886092,0.4693007918886092,8.65329506034929,5.105918618441083
exp,effectiveness,pS,8.48993288590604,sensitivity_pS,606.9364716178125,62.27741213498427,8.719144390780336,0.9784569212535672,0.9784569212535672,8.48993288590604,,,0.4695749079459622,0.4695749079459622,8.662712392707988,5.129206970486
exp,effectiveness,pS,8.624161073825503,sensitivity_pS,606.3074837426648,63.441709887229415,8.912657571774957,0.9773573367408193,0.9773573367408193,8.624161073825503,,,0.47027542675919776,0.47027542675919776,8.686558614825438,5.190863908539677
exp,effectiveness,pS,8.758389261744966,sensitivity_pS,605.1415027205405,64.60769090935365,8.912657571774957,0.9773573367408193,0.9773573367408193,8.758389261744966,,,0.47027542675919776,0.47027542675919776,8.686558614825438,5.190863908539677
exp,effectiveness,pS,8.89261744966443,sensitivity_pS,604.2171638889222,65.7747333991756,9.003448072724932,0.9768532639101362,0.9768532639101362,8.89261744966443,,,0.47060030504939393,0.47060030504939393,8.697512160581558,5.220503688125735
exp,effectiveness,pS,9.026845637583893,sensitivity_pS,605.3927882212027,66.94288683015256,9.657931203341207,0.9719266432265841,0.9719266432265841,9.026845637583893,,,0.47184019917368114,0.47184019917368114,8.805297930786693,5.781349776653516
exp,effectiveness,pS,9.161073825503355,sensitivity_pS,604.2108690358623,68.12480601549305,9.657931203341207,0.9719266432265841,0.9719266432265841,9.161073825503355,,,0.47184019917368114,0.47184019917368114,8.805297930786693,5.781349776653516
exp,effectiveness,pS,9.29530201342282,sensitivity_pS,603.1934831813879,69.30853225088727,9.723360280072535,0.9715756996668399,0.9715756996668399,9.29530201342282,,,0.47207032129590343,0.47207032129590343,8.813026727256194,5.803463759085407
exp,effectiveness,pS,9.429530201342281,sensitivity_pS,602.3610091263063,70.49478284684731,9.865938253170171,0.970823079524936,0.970823079524936,9.429530201342281,,,0.4725677911777664,0.4725677911777664,8.829624490688545,5.852404690094546
exp,effectiveness,pS,9.563758389261745,sensitivity_pS,601.3165409769358,71.68061434537951,9.952508925211616,0.9705188508590978,0.9705188508590978,9.563758389261745,,,0.4729844529788213,0.4729844529788213,8.83634260736592,5.845338320047494
exp,effectiveness,pS,9.697986577181208,sensitivity_pS,600.4688227078725,72.86646245977028,10.098192917460182,0.9697822770740783,0.9697822770740783,9.697986577181208,,,0.4734819228606843,0.4734819228606843,8.852629143858662,5.897385270207565
