decay_type,eta_scale,eta,alpha,delivery_time_type,delivery_decay_type,beta,t0,t1,pS,pT,z,avg_pT,avg_psr,delivery_time,time_ratio,quality_q,USC,UTSP,UDP,p1_search_method,p1_search_domain,p1_search_hi,p1_search_rounds,p1_search_final_step,p1_boundary_status
linear,,,,log,log,,1.0,0.5,9.181222726159957,0.00094270961;0;0.00053433421;0;0;0.004092643;0;0.0012685526;0;0.000206424;0,23495.216;0;9;0;0;27181.418;0;2;0;111.84662;0,0.0006404239411670526,0.5300414995506588,0.870994238460941,0.870994238460941,12.900576153905895,671.1360237948747,61.24727367366466,45.09380412714845,analytical,,,,,analytical
power,,,0.8,log,log,,1.0,0.5,11.633702658822017,0.0011447381;0;0.0010384942;0;0;0.0046540399;0;0.0021551299;0;0.00023590953;0.00024735217,28530.387;0;17;0;0;30909.953;0;3;0;127.82275;12.289667,0.0008614239861714804,0.5560866421748383,0.8357767030570492,0.8357767030570492,13.369223138475961,643.9930244129728,66.86690302590917,71.1511453176899,multi_resolution_grid,"[0,600]",600.0,6,8.372449417019348e-06,interior
power,,,1.2,log,log,,1.0,0.5,8.326576766653808,0.0011447381;0;0.0010384942;0;0;0.0046540399;0;0.0021551299;0;0.00023590953;0.00024735217,28530.387;0;17;0;0;30909.953;0;3;0;127.82275;12.289667,0.0008614239861714804,0.5560866421748383,0.8357767030570492,0.8357767030570492,19.36783638804571,742.9193262074929,72.60111274249017,71.1511453176899,multi_resolution_grid,"[0,600]",600.0,6,8.372449417019348e-06,interior
power,,,1.5,log,log,,1.0,0.5,5.271855107060185,0.00095114844;0;0.00060002976;0;0;0.0041509255;0;0.0013651975;0;0.00020413268;0,23705.538;0;10;0;0;27568.503;0;2;0;110.60511;0,0.0006610394381124427,0.5314903227808974,0.8685704716745555,0.8685704716745555,19.051726344608344,799.0566347783117,40.83894421779908,47.393468758913954,multi_resolution_grid,"[0,600]",600.0,6,8.372449417019348e-06,interior
