decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
power,effectiveness,pS,5.0,sensitivity_pS,670.3388455507226,10.708594010162123,31.120380884896782,0.8995633128095839,5.0,,,0.5115216951778226,0.5115216951778226,10.043668719041609,18.029614096410604
power,effectiveness,pS,5.134228187919463,sensitivity_pS,668.9907020985022,12.056737462382479,31.120380884896782,0.8995633128095839,5.134228187919463,,,0.5115216951778226,0.5115216951778226,10.043668719041609,18.029614096410604
power,effectiveness,pS,5.268456375838926,sensitivity_pS,667.6425586462818,13.40488091460282,31.120380884896782,0.8995633128095839,5.268456375838926,,,0.5115216951778226,0.5115216951778226,10.043668719041609,18.029614096410604
power,effectiveness,pS,5.402684563758389,sensitivity_pS,666.2944151940615,14.753024366823176,31.120380884896782,0.8995633128095839,5.402684563758389,,,0.5115216951778226,0.5115216951778226,10.043668719041609,18.029614096410604
power,effectiveness,pS,5.5369127516778525,sensitivity_pS,671.5908252340478,16.137300016431276,32.473833460955014,0.8964365412088964,5.5369127516778525,,,0.5146455248912477,0.5146455248912477,10.356345879110362,18.795078967046564
power,effectiveness,pS,5.671140939597316,sensitivity_pS,670.2007116932275,17.527413557251464,32.473833460955014,0.8964365412088964,5.671140939597316,,,0.5146455248912477,0.5146455248912477,10.356345879110362,18.795078967046564
power,effectiveness,pS,5.805369127516778,sensitivity_pS,668.8105981524074,18.917527098071638,32.473833460955014,0.8964365412088964,5.805369127516778,,,0.5146455248912477,0.5146455248912477,10.356345879110362,18.795078967046564
power,effectiveness,pS,5.939597315436242,sensitivity_pS,667.4204846115872,20.307640638891826,32.473833460955014,0.8964365412088964,5.939597315436242,,,0.5146455248912477,0.5146455248912477,10.356345879110362,18.795078967046564
power,effectiveness,pS,6.073825503355705,sensitivity_pS,672.0134885264117,21.72155326154848,33.88852322666412,0.8934451603375997,6.073825503355705,,,0.5177693546046729,0.5177693546046729,10.65548396624003,19.621781027333405
power,effectiveness,pS,6.208053691275168,sensitivity_pS,670.5832222222184,23.151819565741775,33.88852322666412,0.8934451603375997,6.208053691275168,,,0.5177693546046729,0.5177693546046729,10.65548396624003,19.621781027333405
power,effectiveness,pS,6.342281879194631,sensitivity_pS,669.1529559180252,24.582085869935057,33.88852322666412,0.8934451603375997,6.342281879194631,,,0.5177693546046729,0.5177693546046729,10.65548396624003,19.621781027333405
power,effectiveness,pS,6.476510067114094,sensitivity_pS,693.5237947250624,26.069529368569263,39.726034415134365,0.8789355015883458,6.476510067114094,,,0.5224313592666775,0.5224313592666775,12.106449841165423,25.459292215803654
power,effectiveness,pS,6.6107382550335565,sensitivity_pS,696.4955046489489,27.69891399781048,41.201961370494345,0.8760682714908319,6.6107382550335565,,,0.5255551889801026,0.5255551889801026,12.393172850916812,26.34723146574137
power,effectiveness,pS,6.74496644295302,sensitivity_pS,694.8319915145977,29.362427132161727,41.201961370494345,0.8760682714908319,6.74496644295302,,,0.5255551889801026,0.5255551889801026,12.393172850916812,26.34723146574137
power,effectiveness,pS,6.879194630872483,sensitivity_pS,693.1684783802464,31.02594026651299,41.201961370494345,0.8760682714908319,6.879194630872483,,,0.5255551889801026,0.5255551889801026,12.393172850916812,26.34723146574137
power,effectiveness,pS,7.0134228187919465,sensitivity_pS,691.5049652458952,32.68945340086424,41.201961370494345,0.8760682714908319,7.0134228187919465,,,0.5255551889801026,0.5255551889801026,12.393172850916812,26.34723146574137
power,effectiveness,pS,7.14765100671141,sensitivity_pS,689.841452111544,34.35296653521549,41.201961370494345,0.8760682714908319,7.14765100671141,,,0.5255551889801026,0.5255551889801026,12.393172850916812,26.34723146574137
power,effectiveness,pS,7.281879194630872,sensitivity_pS,703.7456449958295,36.10742763114835,49.28697547241845,0.8651442686063495,7.281879194630872,,,0.5338527067940451,0.5338527067940451,13.485573139365048,28.091941077665215
power,effectiveness,pS,7.416107382550336,sensitivity_pS,701.9355009502772,37.91757167670071,49.28697547241845,0.8651442686063495,7.416107382550336,,,0.5338527067940451,0.5338527067940451,13.485573139365048,28.091941077665215
power,effectiveness,pS,7.550335570469798,sensitivity_pS,700.1253569047248,39.72771572225306,49.28697547241845,0.8651442686063495,7.550335570469798,,,0.5338527067940451,0.5338527067940451,13.485573139365048,28.091941077665215
power,effectiveness,pS,7.684563758389261,sensitivity_pS,698.3152128591724,41.53785976780541,49.28697547241845,0.8651442686063495,7.684563758389261,,,0.5338527067940451,0.5338527067940451,13.485573139365048,28.091941077665215
power,effectiveness,pS,7.818791946308725,sensitivity_pS,696.50506881362,43.34800381335777,49.28697547241845,0.8651442686063495,7.818791946308725,,,0.5338527067940451,0.5338527067940451,13.485573139365048,28.091941077665215
power,effectiveness,pS,7.953020134228188,sensitivity_pS,698.0228733107887,45.17664063132503,50.885376807080185,0.8624967904056167,7.953020134228188,,,0.5369765365074701,0.5369765365074701,13.750320959438334,29.102354706904684
power,effectiveness,pS,8.087248322147651,sensitivity_pS,696.1771926450923,47.02232129702145,50.885376807080185,0.8624967904056167,8.087248322147651,,,0.5369765365074701,0.5369765365074701,13.750320959438334,29.102354706904684
power,effectiveness,pS,8.221476510067113,sensitivity_pS,694.3315119793958,48.868001962717855,50.885376807080185,0.8624967904056167,8.221476510067113,,,0.5369765365074701,0.5369765365074701,13.750320959438334,29.102354706904684
power,effectiveness,pS,8.355704697986578,sensitivity_pS,692.4858313136995,50.713682628414304,50.885376807080185,0.8624967904056167,8.355704697986578,,,0.5369765365074701,0.5369765365074701,13.750320959438334,29.102354706904684
power,effectiveness,pS,8.48993288590604,sensitivity_pS,690.640150648003,52.559363294110696,50.885376807080185,0.8624967904056167,8.48993288590604,,,0.5369765365074701,0.5369765365074701,13.750320959438334,29.102354706904684
power,effectiveness,pS,8.624161073825503,sensitivity_pS,691.7370544086007,54.41897451012042,52.5450153313928,0.8599470212094573,8.624161073825503,,,0.5401003662208952,0.5401003662208952,14.005297879054268,30.17400552579503
power,effectiveness,pS,8.758389261744966,sensitivity_pS,689.8571486530229,56.29888026569817,52.5450153313928,0.8599470212094573,8.758389261744966,,,0.5401003662208952,0.5401003662208952,14.005297879054268,30.17400552579503
power,effectiveness,pS,8.89261744966443,sensitivity_pS,687.9772428974452,58.17878602127594,52.5450153313928,0.8599470212094573,8.89261744966443,,,0.5401003662208952,0.5401003662208952,14.005297879054268,30.17400552579503
power,effectiveness,pS,9.026845637583893,sensitivity_pS,686.0973371418675,60.05869177685369,52.5450153313928,0.8599470212094573,9.026845637583893,,,0.5401003662208952,0.5401003662208952,14.005297879054268,30.17400552579503
