dataset,overlap_level,method,metric,n,mean,std,standard_error,ci95_low,ci95_high
amazon_employee,high,APM,U_SC,27,559.5212077450474,226.38447086699708,43.56771173180392,474.1284927507117,644.913922739383
amazon_employee,high,APM,U_TSP,27,11.418800166031373,4.620091247164127,0.8891369750769474,9.676091694880556,13.16150863718219
amazon_employee,high,APM,U_DP,27,6.8922887199666105,4.237843778036682,0.815573415344353,5.293764825891679,8.490812614041543
amazon_employee,high,APM,delivery_time,27,0.9186479464739847,0.05471418532773623,0.010529749875819863,0.8980096367173778,0.9392862562305917
amazon_employee,high,APM,pS,27,13.371307595473684,20.150219668043334,3.877911583191637,5.770600892418076,20.97201429852929
amazon_employee,high,APM,avg_pT,27,0.0038247019075887483,0.00240617618638212,0.00046306882297512806,0.002917087014557497,0.004732316800619999
amazon_employee,high,APM,avg_psr,27,0.43138820943157924,0.06190085628987243,0.011912825347342062,0.4080390717507888,0.4547373471123697
amazon_employee,high,APM,avg_risk_value,27,0.003459532598225112,0.0021224952590626813,0.0004084744030578478,0.0026589227682317306,0.004260142428218494
amazon_employee,high,APM,quality_q,27,8.13520535260153,5.471418532773624,1.0529749875819863,6.071374376940836,10.199036328262222
amazon_employee,high,APM,social_welfare,27,577.8322966310453,228.14568209526152,43.90665699071667,491.77524892924066,663.88934433285
amazon_employee,high,APM,quality_adjusted_welfare,27,5818.847207692159,5127.112056468281,986.7131753224459,3884.889384060165,7752.805031324153
amazon_employee,high,APM,welfare_per_time,27,644.7768051431493,284.1723660023294,54.688997335899245,537.5863703647868,751.9672399215118
amazon_employee,high,APM,quality_per_time,27,9.24693024991859,6.84874562548964,1.3180417101625717,6.663568497999949,11.830292001837229
amazon_employee,high,APM,runtime,30,0.0007829507191975912,0.00014647381980894883,2.6742338397769437e-05,0.0007305357359379631,0.0008353657024572193
amazon_employee,high,BGM,U_SC,26,560.2032227397353,159.01331012406322,31.185075817060753,499.08047413829627,621.3259713411744
amazon_employee,high,BGM,U_TSP,26,11.432718838510954,3.2451695977907833,0.6364301193866636,10.185315804513094,12.680121872508815
amazon_employee,high,BGM,U_DP,26,5.627959394980926,3.607221469561272,0.7074343331978373,4.241388101913165,7.014530688048687
amazon_employee,high,BGM,delivery_time,26,0.9276455225429264,0.03595277375143989,0.007050919035629942,0.9138257212330917,0.9414653238527612
amazon_employee,high,BGM,pS,26,8.288449131287878,7.999882542673915,1.568906045828637,5.21339328146375,11.363504981112007
amazon_employee,high,BGM,avg_pT,26,0.003882692672831379,0.002602963407535287,0.0005104831233919384,0.0028821457509831793,0.004883239594679578
amazon_employee,high,BGM,avg_psr,26,0.44218151971283126,0.044351685881034365,0.008698081221851225,0.42513328051800287,0.45922975890765966
amazon_employee,high,BGM,avg_risk_value,26,0.003517474621863079,0.0022545134184757953,0.00044214645824864837,0.002650867563695728,0.004384081680030429
amazon_employee,high,BGM,quality_q,26,7.23544774570736,3.595277375143989,0.7050919035629941,5.8534676147238915,8.617427876690828
amazon_employee,high,BGM,social_welfare,26,577.2639009732272,160.46524711171813,31.46982408754381,515.5830457616414,638.9447561848131
amazon_employee,high,BGM,quality_adjusted_welfare,26,4716.745319895465,3105.5754597485766,609.0534565458798,3523.000545065541,5910.49009472539
amazon_employee,high,BGM,welfare_per_time,26,629.4328617429678,194.55528112734703,38.15542980541818,554.6482193243482,704.2175041615874
amazon_employee,high,BGM,quality_per_time,26,7.955869681571891,4.190864139098895,0.8218960778492883,6.344953368987286,9.566785994156497
amazon_employee,high,BGM,runtime,30,0.0008770068486531576,0.00010474627525162183,1.9123965923319465e-05,0.0008395238754434515,0.0009144898218628637
amazon_employee,high,Our Model,U_SC,30,656.5586120025038,67.32197776683157,12.291255279584972,632.4677516545172,680.6494723504903
amazon_employee,high,Our Model,U_TSP,30,39.536847621042504,22.539874403005825,4.115199217953193,31.471057153854247,47.60263808823076
amazon_employee,high,Our Model,U_DP,30,77.56304555247267,44.155748922015974,8.061699909374191,61.76211373009926,93.36397737484609
amazon_employee,high,Our Model,delivery_time,30,0.8701978257626207,0.03306783960081476,0.006037333892442957,0.8583646513334325,0.8820310001918089
amazon_employee,high,Our Model,pS,30,9.894703786388403,4.047283359399961,0.7389294641862156,8.44640203658342,11.343005536193386
amazon_employee,high,Our Model,avg_pT,30,0.011516414607733524,0.006506876943856118,0.001187987760353424,0.009187958597440813,0.013844870618026235
amazon_employee,high,Our Model,avg_psr,30,0.49193612102160633,0.046339054806772896,0.00846031520371257,0.4753539032223297,0.5085183388208829
amazon_employee,high,Our Model,avg_risk_value,30,0.003915124184335007,0.002357181123110241,0.0004303604244176137,0.0030716177524764843,0.00475863061619353
