decay_type,eta_scale,eta,alpha,delivery_time_type,delivery_decay_type,beta,delivery_theta1,delivery_theta2,delivery_piece_c1_scale,delivery_piece_c2_scale,risk_cost_type,risk_power,risk_threshold,risk_threshold_penalty,t0,t1,pS,pT,z,avg_pT,avg_psr,delivery_time,time_ratio,quality_q,USC,UTSP,UDP,p1_search_method,p1_search_domain,p1_search_hi,p1_search_rounds,p1_search_final_step,p1_boundary_status,piecewise_label
linear,,,,log,log,,,,,,quadratic,,,,1.0,0.5,9.181222726159957,0.00094270961;0;0.00053433421;0;0;0.004092643;0;0.0012685526;0;0.000206424;0,23495.216;0;9;0;0;27181.418;0;2;0;111.84662;0,0.0006404239411670526,0.5300414995506588,0.870994238460941,0.870994238460941,12.900576153905895,671.1360237948747,61.24727367366466,45.09380412714845,analytical,,,,,analytical,
linear,,,,piecewise,piecewise,,0.8,0.5,0.3,0.9,quadratic,,,,1.0,0.5,0.04058963477366256,0;0;0;0;0;7.5061516e-05;0;0;0;1.9859516e-05;0,0;0;0;0;0;498.52343;0;0;0;10.760472;0,8.629184766562678e-06,0.43789444919427484,0.5715773189987885,0.5715773189987885,42.84226810012115,1132.440561133521,1.539040479866924,0.006348709495204854,multi_resolution_grid,"[0,600]",600.0,6,8.37244941700952e-06,interior,delivery_piecewise_mild
linear,,,,piecewise,piecewise,,0.8,0.5,0.5,1.5,quadratic,,,,1.0,0.5,0.04534518604252401,0;0;0;0;0;7.5061516e-05;0;0;0;1.9859516e-05;0,0;0;0;0;0;498.52343;0;0;0;10.760472;0,8.629184766562678e-06,0.43789444919427484,0.6192955316646473,0.6192955316646473,38.070446833535264,1097.88359222888,1.5263999591963477,0.006348709495204854,multi_resolution_grid,"[0,600]",600.0,6,8.37244941700952e-06,interior,delivery_piecewise_default
linear,,,,piecewise,piecewise,,0.85,0.55,0.7,2.0,quadratic,,,,1.0,0.5,0.05963695719735939,0;0;0;0;0;7.5061516e-05;0;0;0;1.9859516e-05;0,0;0;0;0;0;498.52343;0;0;0;10.760472;0,8.629184766562678e-06,0.43789444919427484,0.7140607088861965,0.7140607088861965,28.593929111380344,1014.5655178853182,1.5053433913273904,0.006348709495204854,multi_resolution_grid,"[0,600]",600.0,6,8.37244941700952e-06,interior,delivery_piecewise_strong
