decay_type,eta_scale,eta,alpha,delivery_time_type,delivery_decay_type,beta,risk_cost_type,risk_power,risk_threshold,risk_threshold_penalty,t0,t1,pS,pT,z,avg_pT,avg_psr,delivery_time,time_ratio,quality_q,USC,UTSP,UDP,p1_search_method,p1_search_domain,p1_search_hi,p1_search_rounds,p1_search_final_step,p1_boundary_status
linear,,,,log,log,,quadratic,,,,1.0,0.5,9.181222726159957,0.00094270961;0;0.00053433421;0;0;0.004092643;0;0.0012685526;0;0.000206424;0,23495.216;0;9;0;0;27181.418;0;2;0;111.84662;0,0.0006404239411670526,0.5300414995506588,0.870994238460941,0.870994238460941,12.900576153905895,671.1360237948747,61.24727367366466,45.09380412714845,analytical,,,,,analytical
linear,,,,log,log,,linear,,,,1.0,0.5,37.5,0;0;0.0028877621;0;0;0.016636976;0;0;0;0.008115733;0,0;0;70;0;0;110495;0;0;0;2385;0,0.0025127700828523,0.6706291977639828,0.8212175614431105,0.8212175614431105,17.878243855688947,210.96889749353966,14.634533347242268,181.1734005017379,multi_resolution_grid,"[0,600]",600.0,3,1.171875,interior
linear,,,,log,log,,cubic,3.0,,,1.0,0.5,4.6875,0.00018313856;0;0.00055004992;0;0;0.0025995275;0;0.0015856907;0;0.00068777399;0,29212;0;21;0;0;43771.158;0;8;0;1439.0883;0,0.0005096527856264147,0.6471568363554229,0.7835072771829505,0.7835072771829505,21.649272281704945,834.5573529504636,32.705056326256866,62.68326259440957,multi_resolution_grid,"[0,600]",600.0,3,1.171875,interior
linear,,,,log,log,,threshold,,0.5,4.0,1.0,0.5,7.03125,0.001025576;0;0.00055004992;0;0;0.0051990549;0;0.0019821134;0;0.00068777399;0,25560.5;0;9;0;0;34529.687;0;2;0;372.65625;0,0.0008585971069332884,0.5503351876560197,0.851014298707174,0.851014298707174,14.898570129282596,725.1131816404005,23.55322226232238,63.10963752479645,multi_resolution_grid,"[0,600]",600.0,3,1.171875,interior
