decay_type,eta_scale,eta,alpha,delivery_time_type,delivery_decay_type,beta,t0,t1,pS,pT,z,avg_pT,avg_psr,delivery_time,time_ratio,quality_q,USC,UTSP,UDP,p1_search_method,p1_search_domain,p1_search_hi,p1_search_rounds,p1_search_final_step,p1_boundary_status
linear,,,,log,log,,1.0,0.5,9.181222726159957,0.00094270961;0;0.00053433421;0;0;0.004092643;0;0.0012685526;0;0.000206424;0,23495.216;0;9;0;0;27181.418;0;2;0;111.84662;0,0.0006404239411670526,0.5300414995506588,0.870994238460941,0.870994238460941,12.900576153905895,671.1360237948747,61.24727367366466,45.09380412714845,analytical,,,,,analytical
exp,2.0,2.0,,log,log,,1.0,0.5,1.6498665096664955,0;0;0;0;0;0.00099072164;0;0;0;3.9719033e-05;0,0;0;0;0;0;6579.909;0;0;0;21.520944;0,9.367642469544808e-05,0.44330802944118836,1.0669790436448123,1.0669790436448123,11.836785512268362,746.1653592234034,17.9315029966999,0.8799121263107752,multi_resolution_grid,"[0,600]",600.0,6,8.372449417000846e-06,interior
exp,2.5,2.5,,log,log,,1.0,0.5,6.618655692729768,0.00016663167;0;0;0;0;0.0017904467;0;0.00046619307;0;8.6980823e-05;0,4152.9727;0;0;0;0;11891.308;0;1;0;47.128778;0,0.00022820475021372908,0.46266167565980115,0.9960053470542325,0.9960053470542325,8.290885827236115,613.8356516368701,46.441750602205985,6.449033940369251,multi_resolution_grid,"[0,600]",600.0,6,8.372449417019348e-06,interior
exp,3.0,3.0,,log,log,,1.0,0.5,10.43172033071845,0.00023637084;0;0;0;0;0.0020555908;0;0.00048627848;0;0.00011314137;0,5891.0867;0;0;0;0;13652.271;0;1;0;61.303333;0,0.00026285286156003306,0.4682752124405826,0.9806685392172643,0.9806685392172643,5.275980655482435,495.9813711014052,44.11177766985566,8.400816103946028,multi_resolution_grid,"[0,600]",600.0,6,8.372449417019348e-06,interior
