decay_type,eta_scale,eta,alpha,delivery_time_type,delivery_decay_type,beta,t0,t1,pS,pT,z,avg_pT,avg_psr,delivery_time,time_ratio,quality_q,USC,UTSP,UDP,p1_search_method,p1_search_domain,p1_search_hi,p1_search_rounds,p1_search_final_step,p1_boundary_status
linear,,,,log,log,,1.0,0.5,9.181222726159957,0.00094270961;0;0.00053433421;0;0;0.004092643;0;0.0012685526;0;0.000206424;0,23495.216;0;9;0;0;27181.418;0;2;0;111.84662;0,0.0006404239411670526,0.5300414995506588,0.870994238460941,0.870994238460941,12.900576153905895,671.1360237948747,61.24727367366466,45.09380412714845,analytical,,,,,analytical
linear,,,,power,power,1.2,1.0,0.5,0.07259750889489026,0;0;0;0;0;7.5061516e-05;0;0;0;1.9859516e-05;0,0;0;0;0;0;498.52343;0;0;0;10.760472;0,8.629184766562678e-06,0.43789444919427484,0.763272072237722,0.763272072237722,23.6727927762278,959.9917530640262,1.5186742489467642,0.006348709495204854,multi_resolution_grid,"[0,600]",600.0,6,8.372449417010097e-06,interior
linear,,,,power,power,1.5,1.0,0.5,0.06641864122513716,0;0;0;0;0;7.5061516e-05;0;0;0;1.9859516e-05;0,0;0;0;0;0;498.52343;0;0;0;10.760472;0,8.629184766562678e-06,0.43789444919427484,0.7419251898126195,0.7419251898126195,25.807481018738056,984.8901994934981,1.5141862875157723,0.006348709495204854,multi_resolution_grid,"[0,600]",600.0,6,8.372449417010097e-06,interior
linear,,,,power,power,2.0,1.0,0.5,0.05941927351251715,0;0;0;0;0;7.5061516e-05;0;0;0;1.9859516e-05;0,0;0;0;0;0;498.52343;0;0;0;10.760472;0,8.629184766562678e-06,0.43789444919427484,0.7126894630145422,0.7126894630145422,28.731053698545782,1015.9504452561405,1.5072668028243814,0.006348709495204854,multi_resolution_grid,"[0,600]",600.0,6,8.37244941700952e-06,interior
